,RDM24826_PR4_CreateCities,PASSED,114,3,0,240.90,,||,,RDM24826_PR4_CreateCities,PASSED,116,3,0,180.75
,RDM24826_TC1_SingleLevelHier,PASSED,87,9,0,125.99,,||,,RDM24826_TC1_SingleLevelHier,PASSED,89,9,0,105.20
,RDM24826_TC2_TwoLevelHier,FAILED,123,16,1,610.24,,||,,RDM24826_TC2_TwoLevelHier,PASSED,131,17,0,188.19
,RDM24826_TC3_ThreeLevelHier,PASSED,114,16,0,246.63,,||,,RDM24826_TC3_ThreeLevelHier,PASSED,122,16,0,160.01
,RDM24826_TC4_DeleteLevelHier,PASSED,81,4,0,144.36,,||,,RDM24826_TC4_DeleteLevelHier,FAILED,70,2,0,74.02
RDM32719_ImportExportSeparator,RDM32719_PR00_CreateWorkFolder,PASSED,60,2,0,35.71,,||,RDM32719_ImportExportSeparator,RDM32719_PR00_CreateWorkFolder,PASSED,62,2,0,31.10,,||,RDM32719_ImportExportSeparator,RDM32719_PR00_CreateWorkFolder,PASSED,60,2,0,35.70,,||,RDM32719_ImportExportSeparator,RDM32719_PR00_CreateWorkFolder,PASSED,62,2,0,31.36
,RDM32719_PR01_CreateCommaSeperatorSets,PASSED,103,6,0,131.93,,||,,RDM32719_PR01_CreateCommaSeperatorSets,PASSED,105,6,0,90.06,,||,,RDM32719_PR01_CreateCommaSeperatorSets,PASSED,103,6,0,131.93,,||,,RDM32719_PR01_CreateCommaSeperatorSets,PASSED,105,6,0,91.40
,RDM32719_TC01_ExportCommaSeperator,PASSED,149,75,0,154.52,,||,,RDM32719_TC01_ExportCommaSeperator,PASSED,149,75,0,83.53,,||,,RDM32719_TC01_ExportCommaSeperator,PASSED,149,75,0,153.29,,||,,RDM32719_TC01_ExportCommaSeperator,PASSED,149,75,0,83.89
,RDM32719_TC02_ImportCommaSeperator,PASSED,176,107,0,180.36,,||,,RDM32719_TC02_ImportCommaSeperator,PASSED,177,107,0,77.47,,||,,RDM32719_TC02_ImportCommaSeperator,PASSED,176,107,0,180.37,,||,,RDM32719_TC02_ImportCommaSeperator,PASSED,177,107,0,77.25
,RDM32719_PR02_CreateApostSeperatorSets,PASSED,102,6,0,129.56,,||,,RDM32719_PR02_CreateApostSeperatorSets,PASSED,104,6,0,88.84,,||,,RDM32719_PR02_CreateApostSeperatorSets,PASSED,102,6,0,147.01,,||,,RDM32719_PR02_CreateApostSeperatorSets,PASSED,104,6,0,88.97
,RDM32719_TC03_ExportApostSeperator,PASSED,78,5,0,109.25,,||,,RDM32719_TC03_ExportApostSeperator,PASSED,78,5,0,78.17,,||,,RDM32719_TC03_ExportApostSeperator,PASSED,78,5,0,109.49,,||,,RDM32719_TC03_ExportApostSeperator,PASSED,78,5,0,77.94
,RDM32719_TC04_ImportApostSeperator,PASSED,97,30,0,106.74,,||,,RDM32719_TC04_ImportApostSeperator,PASSED,98,30,0,65.27,,||,,RDM32719_TC04_ImportApostSeperator,PASSED,97,30,0,107.98,,||,,RDM32719_TC04_ImportApostSeperator,PASSED,98,30,0,65.14
,RDM32719_PR04_SetValuesContainApostSeperator,PASSED,102,6,0,128.90,,||,,RDM32719_PR04_SetValuesContainApostSeperator,PASSED,104,6,0,89.45,,||,,RDM32719_PR04_SetValuesContainApostSeperator,PASSED,102,6,0,148.58,,||,,RDM32719_PR04_SetValuesContainApostSeperator,PASSED,104,6,0,89.27
,RDM32719_TC07_ExportValuesContainApost,PASSED,78,5,0,109.51,,||,,RDM32719_TC07_ExportValuesContainApost,PASSED,78,5,0,78.12,,||,,RDM32719_TC07_ExportValuesContainApost,PASSED,78,5,0,109.56,,||,,RDM32719_TC07_ExportValuesContainApost,PASSED,78,5,0,77.90
,RDM32719_TC08_ImportValuesContainApost,PASSED,94,27,0,118.65,,||,,RDM32719_TC08_ImportValuesContainApost,PASSED,95,27,0,77.33,,||,,RDM32719_TC08_ImportValuesContainApost,PASSED,94,27,0,120.61,,||,,RDM32719_TC08_ImportValuesContainApost,PASSED,95,27,0,77.23
,RDM32719_TC11_FlowPostFormatToggle,PASSED,98,33,0,121.96,,||,,RDM32719_TC11_FlowPostFormatToggle,FAILED,100,31,2,104.37,,||,,RDM32719_TC11_FlowPostFormatToggle,PASSED,96,31,0,122.49,,||,,RDM32719_TC11_FlowPostFormatToggle,PASSED,98,31,0,82.75
RDM33605_SetSearching,RDM33605_PR0_CreateFolder,PASSED,61,4,0,38.11,,||,RDM33605_SetSearching,RDM33605_PR0_CreateFolder,PASSED,63,4,0,34.01
,RDM33605_PR1_CreateDataType,PASSED,149,28,0,403.59,,||,,RDM33605_PR1_CreateDataType,PASSED,151,28,0,332.69
,RDM33605_PR2_CreateSets,PASSED,154,6,0,452.78,,||,,RDM33605_PR2_CreateSets,PASSED,156,6,0,363.78
